"contactid"	"publicationid"	"pubtype"	"year"	"articletitle"	"citation"	"journal"	"volume"	"issue"	"pages"	"doi"	"booktitle"	"publisher"	"contactid.1"	"numvolumes"	"edition"	"volumetitle"	"seriestitle"	"seriesvolume"	"citationnumber"	"url"	"city"	"state"	"country"	"originallanguage"	"contactid.2"	"notes"
NA	665	NA	"1947"	"Preliminary note on the discovery of fossil man at Tepexpan in the Valley of Mexico"	NA	"American Antiquity"	13	NA	"40-44"	NA	"American Antiquity"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	666	NA	"1952"	"Early man in American"	NA	"Early man in American"	0	NA	"42-116"	NA	"Early man in American"	"The Texas Memorial Museum"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	667	NA	"1961"	"Rampart Cave coprolite and ecology of the Shasta ground sloth"	NA	"American Journal of Science"	259	NA	"102-127"	NA	"American Journal of Science"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	668	NA	"1979"	"Paleoclimates and Late Pleistocene Faunal provinces in North America"	NA	"Pre-Llano cultures of the Americas: paradoxes and possibilities"	0	NA	"49-69"	NA	"Pre-Llano cultures of the Americas: paradoxes and possibilities"	"The Antropological Society of Washington"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	669	NA	"1923"	"Vertebrate fossil from the Mina Erupcion"	NA	"American Journal of Science"	6	NA	"229-238"	NA	"American Journal of Science"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	670	NA	"1958"	"Quaternary stratigraphy of the Guadiana Valley, Durango, Mexico"	NA	"Bulletin of the Geological Society of America"	69	NA	"1197-1215"	NA	"Bulletin of the Geological Society of America"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	671	NA	"1905"	"Ocurrence of Mastodon humboldtii in Northern Mexico"	NA	"American Journal of Science"	19	NA	"330"	NA	"American Journal of Science"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	672	NA	"1940"	"Early man in American: index to localities, and selected Bibliography"	NA	"Bulletin of the Geological Society of America"	51	NA	"373-431"	NA	"Bulletin of the Geological Society of America"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	673	NA	"1988"	"Pre-Clovis people: early discoveries of America?"	NA	"American Before Columbus: ice-age origins"	0	NA	"31-43"	NA	"American Before Columbus: ice-age origins"	"Departament of Anthropology, University of Pittsburgh"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	674	NA	"1940"	"Man and elefant in Central America"	NA	"Man"	40	NA	"86-88"	NA	"Man"	"The Royal Anthropological Institute"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	675	NA	"1922"	"Species of American Pleistocene Mammoths Elephas jeffersonii, new species"	NA	"American Museum Novitates"	0	NA	"1-16"	NA	"American Museum Novitates"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	676	NA	"1912"	"Brachyostracon a new genus of Glyptodonts from Mexico"	NA	"Bulletin of the American Museum of Natural History"	31	NA	"167-177"	NA	"Bulletin of the American Museum of Natural History"	"The American Museum of Natural History"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	677	NA	"1960"	"Late Pleistocene extinction and radiocarbon Datiny"	NA	"American Antiquity"	26	NA	"58-77"	NA	"American Antiquity"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	678	NA	"1988"	"Clovis People: the human factor in the Pleistocene Megafauna extinction"	NA	"American Before Columbus: ice-age origins"	0	NA	"63-74"	NA	"American Before Columbus: ice-age origins"	"Departament of Anthropology, University of Pittsburgh"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	679	NA	"1889"	"The edentata of North American"	NA	"The American Naturalist"	23	NA	"657-664"	NA	"The American Naturalist"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	680	NA	"1953"	"Association of artifacts with mammoth in the Valley of Mexico"	NA	"American Antiquity"	18	NA	"332-340"	NA	"American Antiquity"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	681	NA	"1951"	"The Early Americans"	NA	"Scientific American"	184	NA	"15-19"	NA	"Scientific American"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	682	NA	"1964"	"Northern Mesoamerica"	NA	"Prehistoric Man in the New World"	0	NA	"291-329"	NA	"Prehistoric Man in the New World"	"The University of Chicago Press"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	683	NA	"1951"	"Some new aspects of the Tepexpan man case"	NA	"Texas Archeological and Paleontological"	0	NA	"217-224"	NA	"Texas Archeological and Paleontological"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	684	NA	"1960"	"An Eden-Scottsbluff burial in Northeastern Wisconsin"	NA	"American Antiquity"	26	NA	"43-57"	NA	"American Antiquity"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	685	NA	"1953"	"A strange Pleistocene fossil locality in Mexico"	NA	"Technical Papers"	118	NA	"748-749"	NA	"Technical Papers"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	686	NA	"1951"	"Radiocarbon Age measurements and fossil man in Mexico"	NA	"Science"	113	NA	"124-125"	NA	"Science"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	687	NA	"1982"	"Anlisis de los materiales arqueolgicos de la gruta de Loltn, Yucatn, Mxico"	NA	NA	0	NA	NA	NA	NA	"Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	688	NA	"1889"	"The Proboscidia"	NA	"The American Naturalist"	13	NA	"191-211"	NA	"The American Naturalist"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	689	NA	"1929"	"New Eurasiatic and American proboscideans"	NA	"American Museum Novitates"	0	NA	"1-23"	NA	"American Museum Novitates"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	690	NA	"1968"	"Distribution of the porcupine, Erethizon dorsatum, in Mexico"	NA	"Mammalia"	32	NA	"709-711"	NA	"Mammalia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	691	NA	"1969"	"Dilemma posed by uranium-series dates on archaecologically significant bones from Valsequillo, Puebla, Mxico"	NA	"Earth and Planetary Science Letters"	0	NA	"237-244"	NA	"Earth and Planetary Science Letters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	692	NA	"1964"	"The primitive hunters"	NA	"Handbook of Middle American Indians"	0	NA	"384-412"	NA	"Handbook of Middle American Indians"	"The University of Texas"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	693	NA	"1974"	"Sobre la fauna pleistocenica de Tequixquiac y los artefactos que se han hallado en la misma regin"	NA	"Boletn (II Epoca)"	0	NA	"41-46"	NA	"Boletn (II Epoca)"	"Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	694	NA	"1983"	"Los restos de megafauna"	NA	"En marcha. Educacin y Cultura"	0	NA	"4-9"	NA	"En marcha. Educacin y Cultura"	"Secretara de Educacin y Cultura del estado de Chiapas"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	695	NA	"1857"	"On the species of Mastodon and Elephas ocurring in the fossil state in England"	NA	"The Quarterly Journal of the Geological Society of London"	14	NA	"81-84"	NA	"The Quarterly Journal of the Geological Society of London"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	696	NA	"1970"	"Einige junpleistozne sugetiere (Platygonus, Arctodus und Canis dirus) aus dem Valsequillo, Mexiko"	NA	"Quartr"	0	NA	"57-66"	NA	"Quartr"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	697	NA	"1869"	"On remains of a large extinct lama (Palauchenia magna, Owen) from Quaternary deposits in the Valley of Mexico"	NA	"Proceedings of the Royal Society of London"	17	NA	"405-406"	NA	"Proceedings of the Royal Society of London"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	698	NA	"1885"	"Pliocene horses of Southwestern Texas"	NA	"The American Naturalist"	19	NA	"1208-1209"	NA	"The American Naturalist"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	699	NA	"1978"	"Tlapacoya: a Late Pleistocene site in central Mexico"	NA	"Early man in America. from a circum-pacific perspective"	8	NA	"221-230"	NA	"Early man in America. from a circum-pacific perspective"	"Paper of the Departament of Antropology University of Alberta, 1."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	700	NA	"1972"	"Some implications of recent excavations and surveys in Nuevo Leon and Coahuila"	NA	"The Texas Journal of Science"	24	NA	"45-56"	NA	"The Texas Journal of Science"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	701	NA	"1978"	"Archeologist debate: how and when did first migrants come?"	NA	"The peopling of the new world"	1	NA	NA	NA	"The peopling of the new world"	"Northwestern Archeological"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	702	NA	"1986"	"Taxonomy of North American Mammoths"	NA	"The Colby Mammoth Site: taphonomy and archaeology of a clovis kill in northern Wyoming"	0	NA	"165-169"	NA	"The Colby Mammoth Site: taphonomy and archaeology of a clovis kill in northern Wyoming"	"University of New Mexico"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	703	NA	"1992"	"The Archaelogy of La Calsada"	NA	NA	0	NA	NA	NA	NA	"The University of Texas Press"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	704	NA	"1981"	"Los talleres lticos de Aguacatenango, Chis."	NA	"Coleccin Cientfica"	0	NA	"1-81"	NA	"Coleccin Cientfica"	"Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	705	NA	"1977"	"La cuenca lacustre Plio-Pleistocenica de Tula-Zumpango"	NA	"Informes del Departamento de Prehistoria"	0	NA	"1-85"	NA	"Informes del Departamento de Prehistoria"	"Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	706	NA	"1989"	"A quantitative study of North American fossil species of the genus Equus"	NA	"The Evolution of Preissodactyls"	0	NA	"262-297"	NA	"The Evolution of Preissodactyls"	"Oxford University Press"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	707	NA	"1985"	"Context and chronology of Early Man in the Americans"	NA	"Ann. Rev. Antropol."	0	NA	"529-555"	NA	"Ann. Rev. Antropol."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	708	NA	"1990"	"Late Quaternary mammals from the Chihuahuan Desert: paleoecology and latitudinal gradients"	NA	"Packrat middens: the last 40,000 years of biotic change"	0	NA	"350-362"	NA	"Packrat middens: the last 40,000 years of biotic change"	"The University of Arizona Press"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	709	NA	"1910"	"Die Saugetierfauna des Pliocans und Postpliocans von Mexiko. I Carnivoren"	NA	"Geologische und Palaentologische Abhandlungen"	9	NA	"195-231"	NA	"Geologische und Palaentologische Abhandlungen"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	710	NA	"1991"	"La fauna de Ventoquipa del Pleistoceno Tardo del Estado de Hidalgo"	NA	"Memoria de la convencin sobre la evolucin geologica de Mxico. Primer Congreso Mexicano de Minerologa"	0	NA	"22"	NA	"Memoria de la convencin sobre la evolucin geologica de Mxico. Primer Congreso Mexicano de Minerologa"	"Instituto de Geologa, UNAM; Inst. Investigaciones en Ciencias de la Tierra, UAH; Soc. Mex. de Minerologa, A. C.; Subsec. Educacin Superior e Investigacin Cientfica, SEP"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	711	NA	"1991"	"Panorama de las faunas Plestocnicas de vertebrados de Mxico"	NA	"Memoria de la convencin sobre la evolucin geologica de Mxico. Primer Congreso Mexicano de Minerologa"	0	NA	"123-125"	NA	"Memoria de la convencin sobre la evolucin geologica de Mxico. Primer Congreso Mexicano de Minerologa"	"Instituto de Geologa, UNAM; Inst. Investigaciones en Ciencias de la Tierra, UAH; Soc. Mex. de Minerologa, A. C.; Subsec. Educacin Superior e Investigacin Cientfica, SEP"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	712	NA	"1973"	"Geologische und Palontologische untersuchungen im Valsequillo bei Puebla (Mexiko)"	NA	NA	0	NA	NA	NA	NA	"Franz Steiner Verlag GMBH"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	713	NA	"1995"	"Fauna local Mina de San Antonio, Pleistoceno Tardo de San Luis Potos, y su significacin Geolgico-Paleontlogica"	NA	NA	0	NA	NA	NA	NA	"Universidad Autnoma del Estado de Morelos"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	714	NA	"1949"	"Nota preliminar sobre dos artefactos del Pleistoceno Superior hallados en la regin de Tequixquiac, Mxico."	NA	"El Mxico Antiguo"	7	NA	"154-163"	NA	"El Mxico Antiguo"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	715	NA	"1959"	"Hallazgo de un artefacto asociado con Mammut en el Valle de Puebla"	NA	"Publicaciones del Departamento de Prehistoria"	0	NA	"7-25"	NA	"Publicaciones del Departamento de Prehistoria"	"Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	716	NA	"1995"	"First radiocarbon dates for San Josecito Cave, Nuevo Len, Mxico"	NA	"Quaternary Research"	0	NA	"255-258"	NA	"Quaternary Research"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	717	NA	"1946"	"Discovery of an upper Pleistocene human fossil at Tepexpam, Valley of Mexico"	NA	"Revista Mexicana de Estudios Antropolgicos"	8	NA	"287-288"	NA	"Revista Mexicana de Estudios Antropolgicos"	"Sociedad Mexicana de Antropologa"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	718	NA	"1973"	"El hombre en Tlapacoya desde unos 20 mil aos"	NA	"Boletn (II Epoca)"	0	NA	"3-8"	NA	"Boletn (II Epoca)"	"Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	719	NA	"1967"	"Excavaciones en un sitio Pleistocenico de Tlapacoya"	NA	"Boletn del Instituto Nacional de Antropologa e Historia"	0	NA	"37-41"	NA	"Boletn del Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	720	NA	"1946"	"New evidence for the antiquity of Early man in Mexico"	NA	"Revista Mexicana de Estudios Antropolgicos"	8	NA	"69-88"	NA	"Revista Mexicana de Estudios Antropolgicos"	"Sociedad Mexicana de Antropologa"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	721	NA	"1947"	"Antecedentes del descubrimiento del hombre de Tepexpan"	NA	"Anthropos"	1	NA	NA	NA	"Anthropos"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	722	NA	"1959"	"Los cazadores del mamut, primeros habitantes de Mxico"	NA	"Esplendor del Mxico Antiguo"	0	NA	"53-72"	NA	"Esplendor del Mxico Antiguo"	"Centro de Investigaciones Antropolgicas de Mxico"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	723	NA	"1955"	"El segundo mamut fsil de Santa Isabel Iztapan, Mxico y artefactos asociados"	NA	"Publicaciones de la Direccin de Prehistoria"	0	NA	"1-59"	NA	"Publicaciones de la Direccin de Prehistoria"	"Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	724	NA	"1967"	"Ausgrabungen einer eiszeitlichen tierwelt im Valsequillo (Hochland von Mexiko)"	NA	"Quartr"	18	NA	"163-172"	NA	"Quartr"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	725	NA	"1967"	"ber reste fossiler Tylopoden aus Mexiko"	NA	"Zeitschrift fr zoologische Systematik und Evolitions forschung"	7	NA	"243-254"	NA	"Zeitschrift fr zoologische Systematik und Evolitions forschung"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	726	NA	"1987"	"Mammute und ihre kmmerfotmen von Eurasien bis Mexiko"	NA	"Quartr"	0	NA	"13-51"	NA	"Quartr"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	727	NA	"1967"	"Prariewolf und Sbelzahntiger aus den Plestozn des Valsequillo, Mexiko"	NA	"Quartr"	0	NA	"173-178"	NA	"Quartr"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	728	NA	"1981"	"Estudio del material ltico procedente de la Gruta de Loltn, Yucatn"	NA	"Revista Mexicana de Estudios Antropolgicos"	26	NA	"191-204"	NA	"Revista Mexicana de Estudios Antropolgicos"	"Sociedad Mexicana de Antropologa"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	729	NA	"1975"	"Dos artefactos de hueso en asosiacin con restos pleistocnicos en Los Reyes La Paz, Mxico"	NA	"Anales del Instituto Nacional de Antropologa e Historia, poca 7a"	4	NA	"237-250"	NA	"Anales del Instituto Nacional de Antropologa e Historia, poca 7a"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	730	NA	"1968"	"Untersuchungen zur jungeiszeitlichen und Nacheiszeitlichen Geologischen und Palontologischen Geschichte"	NA	"El proyecto Mxico de la Fundacin Alemana para la Investigacin Cientfica"	1	NA	"32-36"	NA	"El proyecto Mxico de la Fundacin Alemana para la Investigacin Cientfica"	"Franz Steiner Verlag GMBH"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	731	NA	"1980"	"Recent discoveries in the caves of Loltun, Yucatan, Mexico"	NA	"Mexicon"	2	NA	"53-55"	NA	"Mexicon"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	732	NA	"1988"	"La entrada del hombre a la Pennsula de Yucatn"	NA	"Orgenes del hombre americano (seminario)"	0	NA	"245-261"	NA	"Orgenes del hombre americano (seminario)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	733	NA	"1953"	"Introduction"	NA	"Faunal and archeological researches in Yucatan caves"	0	NA	"1-42"	NA	"Faunal and archeological researches in Yucatan caves"	"Cranbrook Institute of Science"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	734	NA	"1991"	"Fauna identificada en las excavaciones de Temamatla, Estado de Mxico"	NA	"Antropolgicas"	0	NA	"69-83"	NA	"Antropolgicas"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	735	NA	"1984"	"Two new species of the late Pleistocene woodrats (Cricetidae: Neotoma) from New Mexico"	NA	"Journal of Mammalogy"	65	NA	"560-566"	NA	"Journal of Mammalogy"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	736	NA	"1948"	"Historia del Valle de Mejoco en las postrimerias del Cuaternario en relacin con el hombre prehisttorico (resumen)"	NA	"Boletn de la Sociedad Geolgica Mexicana"	13	NA	"77-79"	NA	"Boletn de la Sociedad Geolgica Mexicana"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	737	NA	"1968"	"First record of the turkey Meleagris gallopavo from the Pleistocene of Mexico"	NA	"The Condor"	70	NA	"274-274"	NA	"The Condor"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	738	NA	"1953"	"Mammals"	NA	"Faunal and archeological researches in Yucatan caves"	0	NA	"45-77"	NA	"Faunal and archeological researches in Yucatan caves"	"Cranbrook Institute of Science"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	739	NA	"1994"	"Restos de un mamut localizado en las inmediaciones de Santiago Papasquiaro, Durango (7-1)"	NA	"Archivo del Departamento de Prehistoria"	0	NA	NA	NA	"Archivo del Departamento de Prehistoria"	"Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	740	NA	"1973"	"Estudios estatigrficos en Tapacoya, Estado de Mxico"	NA	"Coleccin Cientfica"	0	NA	"1-80"	NA	"Coleccin Cientfica"	"Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	741	NA	"1986"	"Los mayas de la gruta de Loltn, Yucatn, a travs de sus materiales arqueolgicos"	NA	"Coleccin Cientfica"	0	NA	"1-148"	NA	"Coleccin Cientfica"	"Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	742	NA	"1966"	"Un sitio Pleistcenico en Tlapacoya, Estado de Mxico"	NA	"Boletn del Instituto Nacional de Antropologa e Historia"	0	NA	"30-32"	NA	"Boletn del Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	743	NA	"1870"	"On remains of a large extinct lama (Palauchenia magna, Ow.) from Quaternary deposits in the Valley of Mexico"	NA	"Philosophical Transaction of the Royal Society of London"	160	NA	"65-77"	NA	"Philosophical Transaction of the Royal Society of London"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	744	NA	"1985"	"Identificacin de los restos de animales, procedentes de Chimalhucan, Atenco, Ed. de Mexico. (14-64)"	NA	NA	0	NA	NA	NA	NA	"Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	745	NA	"1985"	"Excavacin de restos oseos de fauna pleistocnica en Landa de Matamoros, Queretaro (21-1)"	NA	"Archivo del Departamento de Prehistoria"	0	NA	NA	NA	"Archivo del Departamento de Prehistoria"	"Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	746	NA	"1985"	"Informe sobre el hallazgo de fauna fsil en la poblacin de Chimalhuacn-Atenco, Estado de Mexico (14-64)"	NA	"Archivo del Departamento de Prehistoria"	0	NA	NA	NA	"Archivo del Departamento de Prehistoria"	"Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	747	NA	"1986"	"Chimalhuacan, restos oseos (14-64)"	NA	"Archivo del Departamento de Prehistoria"	0	NA	NA	NA	"Archivo del Departamento de Prehistoria"	"Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	748	NA	"1968"	"Informe de la localizacin de restos de fauna fsil reportados en Monterrey, Nuevo Len (18-9)"	NA	"Archivo del Departamento de Prehistoria"	0	NA	NA	NA	"Archivo del Departamento de Prehistoria"	"Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	749	NA	"1988"	"Hallazgo de restos seos de proboscideo en la colonia Santa Martha, Acatitla (14-64)"	NA	"Archivo del Departamento de Prehistoria"	0	NA	NA	NA	"Archivo del Departamento de Prehistoria"	"Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	750	NA	"1990"	"Los sitios del Valle del Mamut, Tamps., y su ltica (27-9)"	NA	"Archivo del Departamento de Prehistoria"	0	NA	NA	NA	"Archivo del Departamento de Prehistoria"	"Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	751	NA	"1980"	"Informe sobre el hallazgo de un esqueleto de mamut en Chinconcuac, Estado de Mxico (14-65)"	NA	"Archivo del Departamento de Prehistoria"	0	NA	NA	NA	"Archivo del Departamento de Prehistoria"	"Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	752	NA	"1981"	"Denuncia de restos de fauna fsil, Cierres Ideal de Mxico, S. A., Toltepec, Mxico (12-65)"	NA	"Archivo del Departamento de Prehistoria"	0	NA	NA	NA	"Archivo del Departamento de Prehistoria"	"Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	753	NA	"1978"	"Informe sobre el hallazgo de fauna pleistocnica en la Colinia \"El Capulin\" Mpo. Naucalpan, Edo. de Mxico"	NA	"Archivo del Departamento de Prehistoria"	0	NA	NA	NA	"Archivo del Departamento de Prehistoria"	"Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	754	NA	"1979"	"Restos de Equus sp. de la colonia Los Cuartos, Mpo. de Naucalpan de Jurez, Edo. de Mxico"	NA	"Archivo del Departamento de Prehistoria"	0	NA	NA	NA	"Archivo del Departamento de Prehistoria"	"Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	755	NA	"1981"	"Santa Lucia II Informe preliminar"	NA	"Archivo del Departamento de Prehistoria"	0	NA	NA	NA	"Archivo del Departamento de Prehistoria"	"Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	756	NA	"1982"	"Informe sobre los restos de megafauna del Municipio de Villa Corzo, Chiapas"	NA	"Archivo del Departamento de Prehistoria (6-85)"	0	NA	NA	NA	"Archivo del Departamento de Prehistoria (6-85)"	"Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	757	NA	"1995"	"Informe de localizacin de un vestigio de fauna de Mapimi, Durango (9-14)"	NA	"Archivo del Departamento de Prehistoria (6-85)"	0	NA	NA	NA	"Archivo del Departamento de Prehistoria (6-85)"	"Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
