"contactid"	"publicationid"	"pubtype"	"year"	"articletitle"	"citation"	"journal"	"volume"	"issue"	"pages"	"doi"	"booktitle"	"publisher"	"contactid.1"	"numvolumes"	"edition"	"volumetitle"	"seriestitle"	"seriesvolume"	"citationnumber"	"url"	"city"	"state"	"country"	"originallanguage"	"contactid.2"	"notes"
NA	45	NA	"1971"	"On two small Pleistocene ground-sloths"	NA	"An Acad. Brasil. Cinc."	0	NA	"499-513"	NA	"An Acad. Brasil. Cinc."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	46	NA	"1960"	"Pleistocene pocket gophers from San Josecito Cave, Nuevo Leon, Mexico"	NA	"University of Kansas Publications, Museum of Natural History"	9	NA	"539-548"	NA	"University of Kansas Publications, Museum of Natural History"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	47	NA	"1969"	"Intraespecific population structure of the species Pappogeomys castanops"	NA	"Miscellaneous Publication University of Kansas Museum of Natural History"	0	NA	"337-371"	NA	"Miscellaneous Publication University of Kansas Museum of Natural History"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	48	NA	"1986"	"A new leporine (Lagomorpha: Leporidae) from Wisconsinan deposits of the Chihuahuan desert."	NA	"Journal of Mammalogy"	67	NA	"632-639"	NA	"Journal of Mammalogy"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	49	NA	"1969"	"Localidades de vertebrados fsiles en la Repblica Mexicana"	NA	"Paleontologa Mexicana"	0	NA	"1-34"	NA	"Paleontologa Mexicana"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	50	NA	"1993"	"Vertebrados fsiles del Museo de Geologa de la UNAM"	NA	"Revista de la Sociedad Mexicana de Paleontologa"	6	NA	"71-103"	NA	"Revista de la Sociedad Mexicana de Paleontologa"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	51	NA	"1936"	"New type of ground sloth from the Late Cenozoic of Mexico. in: Minutes of the meeting of the Pacific Coast Branch of the Paleontological"	NA	"Proceedings of the Geological Society of America for 1935"	0	NA	"418-"	NA	"Proceedings of the Geological Society of America for 1935"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	52	NA	"1942"	"A ground sloth in Alaska"	NA	"Science"	95	NA	"552-553"	NA	"Science"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	53	NA	"1942"	"Cave of San Josecito, Nuevo Leon, Mexico in. Abstracts of the Geological Society of America, Cordilleran section meeting at California Institute of Tecnology in april"	NA	"Bulletin of the Geological Society of America"	53	NA	"1822-"	NA	"Bulletin of the Geological Society of America"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	54	NA	"1943"	"The Cave of San Josecito, Mexico: new discoveries of the vertebrate life of the ice age"	NA	"Balch Graduate School of Geological Sciences, California Institute of Technology"	0	NA	"1-5"	NA	"Balch Graduate School of Geological Sciences, California Institute of Technology"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
